Title,Year,Genre,Director,Production Company,Runtime (min),Country of Origin,Original Language,Gross Revenue (million)
War Horse,2011,Drama,Steven Spielberg,DreamWorks,146,USA,English,177.6
The Adventures of Tintin,2011,Animation,Steven Spielberg,Paramount Pictures,107,USA,English,374.0
Mission: Impossible – Ghost Protocol,2011,Action,Brad Bird,Paramount Pictures,133,USA,English,694.7
Rise of the Planet of the Apes,2011,Sci-Fi,Rupert Wyatt,20th Century Fox,105,USA,English,481.8
Super 8,2011,Sci-Fi,J.J. Abrams,Paramount Pictures,112,USA,English,260.1
X-Men: First Class,2011,Superhero,Matthew Vaughn,20th Century Fox,132,USA,English,353.6
The Muppets,2011,Comedy,James Bobin,Disney,103,USA,English,165.2
Puss in Boots,2011,Animation,Chris Miller,DreamWorks Animation,90,USA,English,554.7
The Smurfs,2011,Animation,Raja Gosnell,Columbia Pictures,103,USA,English,563.7
Cars 2,2011,Animation,John Lasseter,Pixar,106,USA,English,562.0
Kung Fu Panda 2,2011,Animation,Jennifer Yuh,DreamWorks Animation,90,USA,English,665.7
Rio,2011,Animation,Carlos Saldanha,20th Century Fox,96,USA,English,484.6
Rango,2011,Animation,Gore Verbinski,Paramount Pictures,107,USA,English,245.7
The Hangover Part II,2011,Comedy,Todd Phillips,Warner Bros.,102,USA,English,586.8
Fast Five,2011,Action,Justin Lin,Universal Pictures,130,USA,English,626.1
Pirates of the Caribbean: On Stranger Tides,2011,Adventure,Rob Marshall,Disney,136,USA,English,1045.7
Transformers: Dark of the Moon,2011,Action,Michael Bay,Paramount Pictures,154,USA,English,1123.8
The Twilight Saga: Breaking Dawn – Part 1,2011,Fantasy,Bill Condon,Summit Entertainment,117,USA,English,712.2
The Social Network,2010,Drama,David Fincher,Columbia Pictures,120,USA,English,224.9
Inception,2010,Sci-Fi,Christopher Nolan,Warner Bros.,148,USA,English,836.8
Despicable Me,2010,Animation,Pierre Coffin and Chris Renaud,Universal Pictures,95,USA,English,543.1
Iron Man 2,2010,Superhero,Jon Favreau,Marvel Studios,124,USA,English,623.9
Shutter Island,2010,Thriller,Martin Scorsese,Paramount Pictures,138,USA,English,294.8
Tangled,2010,Animation,Nathan Greno and Byron Howard,Disney,100,USA,English,592.4
The King's Speech,2010,Biography,Tom Hooper,See-Saw Films,118,UK,English,427.4
Alice in Wonderland,2010,Fantasy,Tim Burton,Disney,108,USA,English,1025.5
How to Train Your Dragon,2010,Animation,Dean DeBlois and Chris Sanders,DreamWorks Animation,98,USA,English,494.9
The Fighter,2010,Biography,David O. Russell,Paramount Pictures,116,USA,English,129.2
Salt,2010,Action,Phillip Noyce,Columbia Pictures,100,USA,English,293.5
Megamind,2010,Animation,Tom McGrath,DreamWorks Animation,95,USA,English,321.9
